geoid,NAME,B01003_001E,B01002_001E,B01002_002E,B01002_003E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county
06033,"Lake County, California",64148,45.6,44.5,47.3,1208,1605,1047,1630,1548,1192,684,656,1306,1421,1117,1510,1739,1388,711,719,06,033
06043,"Mariposa County, California",17540,51.4,51.1,51.8,530,424,406,543,476,476,224,197,274,455,176,477,700,402,454,159,06,043
06115,"Yuba County, California",75493,32.5,31.4,33.8,793,1047,753,912,1097,548,520,434,889,1272,762,1205,918,781,462,683,06,115
06013,"Contra Costa County, California",1133247,39.4,38.1,40.7,13693,18889,11032,15630,18988,12885,8207,7805,15336,21282,12796,18469,22622,15456,12017,13875,06,013
06035,"Lassen County, California",31185,36.0,33.9,44.0,459,596,323,415,559,358,267,140,374,462,249,483,475,358,267,263,06,035
06083,"Santa Barbara County, California",443738,33.7,32.6,34.9,5261,6304,4156,5223,7165,5160,3281,4009,5360,7171,4804,5893,7800,6083,5317,5884,06,083
06097,"Sonoma County, California",501317,41.7,40.0,43.5,7789,10548,6701,8437,10693,6053,4231,4119,7942,11294,7203,10722,11764,7903,5769,7502,06,097
06025,"Imperial County, California",180216,32.4,31.4,33.6,1311,2603,1568,2011,2207,1810,1101,1433,2190,2644,1774,2042,2826,2411,1657,1606,06,025
06051,"Mono County, California",14174,38.3,37.9,38.7,173,238,197,379,161,270,24,58,205,291,118,264,266,202,72,19,06,051
06001,"Alameda County, California",1643700,37.4,36.5,38.3,19049,25547,15067,20150,23227,15802,10579,9511,20193,28312,16834,23125,28417,19406,15161,18638,06,001
06067,"Sacramento County, California",1510023,36.0,34.8,37.3,17332,23878,14049,17917,21442,14084,10402,9332,19596,27020,17065,21223,26212,19053,14080,17348,06,067
06055,"Napa County, California",140530,41.1,40.0,42.6,1930,2629,1699,2313,2906,2193,1224,1414,1961,2817,1783,2568,3084,2001,2127,2048,06,055
