state,date,county,fips,cases,deaths,NAME,total,total median age,male,female,male 60 to 61,male 62 to 64,male 65 to 66,male 67 to 69,male 70 to 74,male 75 to 79,male 80 to 84,male 85+,female 60 to 61,female 62 to 64,female 65 to 66,female 67 to 69,female 70 to 74,female 75 to 79,female 80 to 84,female 85+,high risk males,ratio high risk males,high risk females,ratio high risk females,high risk total,total high risk ratio,highest risk male,highest risk ratio male,highest risk female,highest risk ratio female,highest risk total,highest risk ratio
California,4/18/20,Alameda,6001.0,1135,41,"Alameda County, California",1643700.0,37.4,36.5,38.3,19049.0,25547.0,15067.0,20150.0,23227.0,15802.0,10579.0,9511.0,20193.0,28312.0,16834.0,23125.0,28417.0,19406.0,15161.0,18638.0,138932.0,8.45,170086.0,10.35,309018.0,18.8,9511.0,0.58,18638.0,1.13,28149.0,1.71
California,4/18/20,Alpine,6003.0,1,0,"Alpine County, California",1146.0,44.3,37.8,47.3,42.0,33.0,37.0,23.0,36.0,44.0,6.0,1.0,8.0,26.0,40.0,20.0,36.0,12.0,4.0,34.0,222.0,19.37,180.0,15.71,402.0,35.08,1.0,0.09,34.0,2.97,35.0,3.05
California,4/18/20,Amador,6005.0,6,0,"Amador County, California",37829.0,50.5,48.1,53.3,605.0,1007.0,733.0,1072.0,1214.0,741.0,503.0,514.0,655.0,1120.0,798.0,1022.0,1305.0,639.0,672.0,739.0,6389.0,16.89,6950.0,18.37,13339.0,35.26,514.0,1.36,739.0,1.95,1253.0,3.31
California,4/18/20,Calaveras,6009.0,12,0,"Calaveras County, California",45235.0,52.1,51.3,53.0,670.0,1252.0,735.0,1198.0,1750.0,1027.0,822.0,473.0,1156.0,1325.0,691.0,1399.0,1696.0,1107.0,561.0,755.0,7927.0,17.52,8690.0,19.21,16617.0,36.73,473.0,1.05,755.0,1.67,1228.0,2.71
California,4/18/20,Colusa,6011.0,3,0,"Colusa County, California",21464.0,35.1,33.9,36.1,246.0,385.0,253.0,271.0,365.0,265.0,168.0,102.0,239.0,262.0,303.0,252.0,324.0,248.0,179.0,236.0,2055.0,9.57,2043.0,9.52,4098.0,19.09,102.0,0.48,236.0,1.1,338.0,1.57
California,4/18/20,Del Norte,6015.0,2,0,"Del Norte County, California",27424.0,38.6,37.8,41.8,447.0,456.0,407.0,406.0,578.0,229.0,267.0,313.0,361.0,538.0,367.0,493.0,557.0,347.0,323.0,298.0,3103.0,11.31,3284.0,11.97,6387.0,23.29,313.0,1.14,298.0,1.09,611.0,2.23
California,4/18/20,El Dorado,6017.0,36,0,"El Dorado County, California",186661.0,45.8,44.9,46.7,2997.0,4763.0,2643.0,3883.0,4702.0,2893.0,2129.0,1391.0,3183.0,4674.0,2966.0,3705.0,4777.0,3382.0,1841.0,2439.0,25401.0,13.61,26967.0,14.45,52368.0,28.06,1391.0,0.75,2439.0,1.31,3830.0,2.05
California,4/18/20,Fresno,6019.0,315,7,"Fresno County, California",978130.0,32.0,31.2,33.0,10485.0,13130.0,8146.0,10050.0,13121.0,8532.0,5635.0,5602.0,10481.0,13227.0,8242.0,11901.0,14778.0,10498.0,7695.0,10238.0,74701.0,7.64,87060.0,8.9,161761.0,16.54,5602.0,0.57,10238.0,1.05,15840.0,1.62
California,4/18/20,Glenn,6021.0,4,0,"Glenn County, California",27897.0,36.6,35.2,37.7,304.0,505.0,311.0,472.0,400.0,370.0,229.0,229.0,322.0,627.0,385.0,471.0,406.0,481.0,283.0,263.0,2820.0,10.11,3238.0,11.61,6058.0,21.72,229.0,0.82,263.0,0.94,492.0,1.76
California,4/18/20,Humboldt,6023.0,52,0,"Humboldt County, California",135768.0,38.0,37.6,38.6,1907.0,2828.0,1669.0,2063.0,3184.0,1748.0,804.0,996.0,2141.0,2898.0,1635.0,2679.0,2978.0,1853.0,1386.0,1652.0,15199.0,11.19,17222.0,12.68,32421.0,23.88,996.0,0.73,1652.0,1.22,2648.0,1.95
California,4/18/20,Imperial,6025.0,155,2,"Imperial County, California",180216.0,32.4,31.4,33.6,1311.0,2603.0,1568.0,2011.0,2207.0,1810.0,1101.0,1433.0,2190.0,2644.0,1774.0,2042.0,2826.0,2411.0,1657.0,1606.0,14044.0,7.79,17150.0,9.52,31194.0,17.31,1433.0,0.8,1606.0,0.89,3039.0,1.69
California,4/18/20,Inyo,6027.0,18,0,"Inyo County, California",18085.0,45.7,44.9,46.4,279.0,514.0,228.0,388.0,516.0,314.0,248.0,245.0,357.0,357.0,274.0,490.0,425.0,342.0,343.0,335.0,2732.0,15.11,2923.0,16.16,5655.0,31.27,245.0,1.35,335.0,1.85,580.0,3.21
California,4/18/20,Kern,6029.0,619,3,"Kern County, California",883053.0,31.5,31.0,32.1,8393.0,11907.0,6765.0,8641.0,11088.0,7316.0,4527.0,3915.0,8765.0,12970.0,7031.0,9119.0,12817.0,8490.0,6069.0,6227.0,62552.0,7.08,71488.0,8.1,134040.0,15.18,3915.0,0.44,6227.0,0.71,10142.0,1.15
California,4/18/20,Kings,6031.0,28,1,"Kings County, California",150075.0,31.7,32.1,31.1,1597.0,1631.0,1181.0,1182.0,1770.0,1033.0,933.0,581.0,1339.0,1803.0,1207.0,1142.0,1932.0,1672.0,994.0,940.0,9908.0,6.6,11029.0,7.35,20937.0,13.95,581.0,0.39,940.0,0.63,1521.0,1.01
California,4/18/20,Lake,6033.0,6,0,"Lake County, California",64148.0,45.6,44.5,47.3,1208.0,1605.0,1047.0,1630.0,1548.0,1192.0,684.0,656.0,1306.0,1421.0,1117.0,1510.0,1739.0,1388.0,711.0,719.0,9570.0,14.92,9911.0,15.45,19481.0,30.37,656.0,1.02,719.0,1.12,1375.0,2.14
California,4/18/20,Los Angeles,6037.0,12021,576,"Los Angeles County, California",10098052.0,36.2,35.1,37.4,114789.0,147227.0,87175.0,111331.0,135755.0,95096.0,66762.0,64887.0,121622.0,164126.0,98252.0,130960.0,170920.0,125834.0,97008.0,115297.0,823022.0,8.15,1024019.0,10.14,1847041.0,18.29,64887.0,0.64,115297.0,1.14,180184.0,1.78
California,4/18/20,Madera,6039.0,34,2,"Madera County, California",155013.0,33.9,32.8,34.9,1905.0,2219.0,1381.0,1725.0,3097.0,1653.0,1303.0,719.0,1592.0,2488.0,1427.0,2090.0,3040.0,1596.0,1212.0,1554.0,14002.0,9.03,14999.0,9.68,29001.0,18.71,719.0,0.46,1554.0,1.0,2273.0,1.47
California,4/18/20,Marin,6041.0,189,10,"Marin County, California",260295.0,46.5,45.0,48.1,3890.0,5246.0,3521.0,4665.0,6624.0,4417.0,2828.0,2230.0,4492.0,5924.0,3802.0,6117.0,7303.0,5317.0,3326.0,4475.0,33421.0,12.84,40756.0,15.66,74177.0,28.5,2230.0,0.86,4475.0,1.72,6705.0,2.58
California,4/18/20,Mendocino,6045.0,5,0,"Mendocino County, California",87422.0,42.8,41.2,44.5,1318.0,2142.0,1251.0,1999.0,2450.0,1274.0,615.0,721.0,1302.0,2130.0,1629.0,1970.0,2239.0,1285.0,1135.0,1277.0,11770.0,13.46,12967.0,14.83,24737.0,28.3,721.0,0.82,1277.0,1.46,1998.0,2.29
California,4/18/20,Merced,6047.0,87,3,"Merced County, California",269075.0,30.9,30.1,31.7,2697.0,3283.0,2130.0,2823.0,3197.0,2805.0,1332.0,1061.0,2611.0,3610.0,1689.0,2720.0,4434.0,2947.0,1903.0,2279.0,19328.0,7.18,22193.0,8.25,41521.0,15.43,1061.0,0.39,2279.0,0.85,3340.0,1.24
California,4/18/20,Mono,6051.0,23,1,"Mono County, California",14174.0,38.3,37.9,38.7,173.0,238.0,197.0,379.0,161.0,270.0,24.0,58.0,205.0,291.0,118.0,264.0,266.0,202.0,72.0,19.0,1500.0,10.58,1437.0,10.14,2937.0,20.72,58.0,0.41,19.0,0.13,77.0,0.54
